Property,ObtainedValue,Variance,CI,Problems
PDice2(obs1),0.03,0.029103731247595844,0.009951169175779232,0
PDice2(obs2),0.0510077519379845,0.0484097138712153,0.009979722790895141,0
PDice2(obs3),0.08533653846153846,0.07805796645178947,0.009979850240644567,0
PDice2(obs4),0.11548076923076923,0.10214987222018809,0.011416535241519688,0
PDice2(obs5),0.1414423076923077,0.1214422198552445,0.012448019395578502,0
PDice2(obs6),0.16302884615384616,0.13645700190837579,0.013195119276484741,0
PDice2(obs7),0.13490384615384615,0.11671040952412652,0.012203100957223796,0
PDice2(obs8),0.11240384615384616,0.09977401835147401,0.011282988345551482,0
PDice2(obs9),0.08116161616161616,0.0745781747981354,0.009998166281151683,0
PDice2(obs10),0.055179856115107916,0.052138790586352415,0.00997746359029961,0
PDice2(obs11),0.028219178082191782,0.027426613140850594,0.009985544135117796,0
